Fecha,Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Duración media de las visualizaciones
2026-07-26,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-27,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-28,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-29,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-30,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-31,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-01,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-02,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-03,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-04,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-05,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-06,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-07,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-08,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-09,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-10,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-11,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-12,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-13,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-14,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-15,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-16,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-17,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-08-18,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:03:22
2026-08-19,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:01:03
2026-08-20,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:11
2026-08-21,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:05
2026-08-22,nmADYAksYoo,Nadie nace gracioso — lo que 50 años de investigación han medido de verdad,"Aug 18, 2026",430,0:00:00
2026-07-26,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-27,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-28,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-29,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-30,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-07-31,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-01,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-02,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-03,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-04,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
2026-08-05,o_1LiLkrlso,«Todavía es pronto»: alguien midió cuánto hay que esperar exactamente,"Aug 20, 2026",330,0:00:00
