Fecha,Duración media de las visualizaciones
2026-07-26,0:00:00
2026-07-27,0:00:00
2026-07-28,0:00:00
2026-07-29,0:00:00
2026-07-30,0:00:00
2026-07-31,0:00:00
2026-08-01,0:00:00
2026-08-02,0:00:00
2026-08-03,0:00:00
2026-08-04,0:00:00
2026-08-05,0:00:00
2026-08-06,0:00:00
2026-08-07,0:00:00
2026-08-08,0:00:00
2026-08-09,0:00:00
2026-08-10,0:00:00
2026-08-11,0:00:00
2026-08-12,0:00:00
2026-08-13,0:00:00
2026-08-14,0:00:00
2026-08-15,0:00:00
2026-08-16,0:00:00
2026-08-17,0:00:00
2026-08-18,0:03:22
2026-08-19,0:01:59
2026-08-20,0:01:44
2026-08-21,0:00:05
2026-08-22,0:02:09
